id,name,is_pickup_available,area
1,Abra,F,luzon
2,Agusan Del Norte,F,mindanao
3,Agusan Del Sur,F,mindanao
4,Aklan,F,visayas
5,Albay,F,luzon
6,Antique,F,visayas
7,Apayao,F,luzon
8,Aurora,F,luzon
9,Basilan,F,mindanao
10,Bataan,F,luzon
11,Batanes,F,luzon
12,Batangas,F,luzon
13,Benguet,F,luzon
14,Biliran,F,visayas
15,Bohol,F,visayas
16,Bukidnon,F,luzon
17,Bulacan,T,greater manila
18,Cagayan,F,luzon
19,Camarines Norte,F,luzon
20,Camarines Sur,F,luzon
21,Camiguin,F,mindanao
22,Capiz,F,visayas
23,Cantanduanes,F,luzon
24,Cavite,T,greater manila
25,Cebu,F,visayas
26,Cotabato,F,mindanao
27,Davao Del Norte,F,mindanao
28,Davao Del Sur,F,mindanao
29,Davao Occidental,F,mindanao
30,Davao Oriental,F,mindanao
31,Davao de Oro,F,mindanao
32,Dinagat Islands,F,mindanao
33,Eastern Samar,F,visayas
34,Guimaras,F,visayas
35,Ifugao,F,luzon
36,Ilocos Norte,F,luzon
37,Ilocos Sur,F,luzon
38,Iloilo,F,visayas
39,Isabela,F,luzon
40,Kalinga,F,luzon
41,La Union,F,luzon
42,Laguna,T,greater manila
43,Lanao Del Norte,F,mindanao
44,Lanao Del Sur,F,mindanao
45,Leyte,F,visayas
46,Maguindanao,F,mindanao
47,Marinduque,F,luzon
48,Masbate,F,luzon
49,Metro Manila,T,metro manila
50,Misamis Occidental,F,mindanao
51,Misamis Oriental,F,mindanao
52,Mountain Province,F,luzon
53,Negros Occidental,F,visayas
54,Negros Oriental,F,visayas
55,Northern Samar,F,visayas
56,Nueva Ecija,F,luzon
57,Nueva Vizcaya,F,luzon
58,Occidental Mindoro,F,luzon
59,Oriental Mindoro,F,luzon
60,Palawan,F,luzon
61,Pampanga,F,luzon
62,Pangasinan,F,luzon
63,Quezon,F,luzon
64,Quirino,F,luzon
65,Rizal,T,greater manila
66,Romblon,F,luzon
67,Samar,F,visayas
68,Sarangani,F,mindanao
69,Siquijor,F,visayas
70,Sorsogon,F,luzon
71,South Cotabato,F,mindanao
72,Southern Leyte,F,visayas
73,Sultan Kudarat,F,mindanao
74,Sulu,F,mindanao
75,Surigao Del Norte,F,mindanao
76,Surigao Del Sur,F,mindanao
77,Tarlac,F,luzon
78,Tawi-Tawi,F,mindanao
79,Zambales,F,luzon
80,Zamboaga Del Norte,F,mindanao
81,Zamboaga Del Sur,F,mindanao
82,Zamboaga Sibugay,F,mindanao
